player,player_id,pos,team,conference,archetype,cluster,pts_per_g,ast_per_g,treb_per_g,blk_per_g,stl_per_g,ts_pct,bpm,usg_pct,readiness_score,n_seasons,height_in,weight_lbs,trend_bpm,trend_pts_per_g,Atlanta Dream_fit,Atlanta Dream_total,Chicago Sky_fit,Chicago Sky_total,Connecticut Sun_fit,Connecticut Sun_total,Dallas Wings_fit,Dallas Wings_total,Indiana Fever_fit,Indiana Fever_total,Las Vegas Aces_fit,Las Vegas Aces_total,Los Angeles Sparks_fit,Los Angeles Sparks_total,Minnesota Lynx_fit,Minnesota Lynx_total,New York Liberty_fit,New York Liberty_total,Phoenix Mercury_fit,Phoenix Mercury_total,Seattle Storm_fit,Seattle Storm_total,Washington Mystics_fit,Washington Mystics_total
Gabi Vidmar,gabi-vidmar-1,"pos    G
pos    G
Name: 355, dtype: object",Cal State Fullerton,Big West Conference,Floor General,2.0,9.362666996952289,2.2019317619797083,4.3985642131905065,0.2719805034227738,2.1739122654024823,0.522229213361193,2.3489805721198618,15.501564860561936,57.67,3,70.0,,1.3500000000003085,2.550000000000666,0.1567,0.8287,0.141,0.8314,0.0087,0.8321,0.5415,1.1969,0.2711,1.5106,0.0971,1.4076,0.3321,1.1007,-0.0024,0.5916,0.0,0.7092,0.1812,1.2372,0.0542,0.9948,0.0456,0.7761
Megan McConnell,megan-mcconnell-1,"pos    G
pos    G
Name: 74, dtype: object",Duquesne,Atlantic 10 Conference,Floor General,2.0,14.89387909158395,4.882001020650389,7.946375061418258,0.3170569504648887,3.043452123811098,0.5529052307573599,8.679160821940101,20.4926049123049,48.29,4,67.0,,2.400000000000187,3.0700000000002907,0.8713,0.682,0.7853,0.698,0.0546,0.7899,1.2783,1.1686,0.5353,1.5996,0.2431,1.7652,0.8632,1.0349,0.0112,0.571,0.0,0.0171,0.5285,1.5573,0.1678,0.9012,0.5916,0.8863
Addie Porter,addie-porter-1,"pos    G
pos    G
Name: 10034, dtype: object",Clemson,Atlantic Coast Conference,3-and-D Wing,0.0,4.875822116966882,2.05041347193822,4.619344457618988,0.1699392321139788,1.0400213599415975,0.4668526334171395,-0.4553021313523865,12.951016849489909,48.02,4,64.0,,2.0299999999999963,-1.500000000000271,-0.3144,-0.2427,-0.2657,-0.2331,-0.0001,-0.0047,0.1857,0.1645,0.0599,0.1743,0.0344,0.2447,-0.1148,-0.1381,-0.0037,-0.1855,0.0,-0.0028,0.0913,0.2632,0.0073,0.0354,0.0051,0.0047
Lauren Park-Lane,lauren-park-lane-1,"pos    G
pos    G
Name: 1791, dtype: object",Mississippi State,Southeastern Conference,Floor General,2.0,14.81665840806722,6.360289657483817,2.7908314577846993,0.0971512960528334,1.1006224303738017,0.5047864269887807,4.8008699213319765,23.974390916848744,47.73,3,63.0,,-0.9999999999996868,-4.5499999999982474,0.2993,0.2042,0.2813,0.2197,-0.0041,-0.0829,-0.1849,-0.1908,0.0942,0.2544,0.0596,0.4044,0.1936,0.204,-0.0009,-0.07,0.0,-0.0242,0.0743,0.1922,0.0373,0.1723,0.0452,0.0423
Courtney Whitson,courtney-whitson-1,"pos    F
pos    F
Name: 47, dtype: object",Middle Tennessee,Conference USA,Stretch Big,5.0,10.034002241797548,2.167903554910102,7.075471122689078,0.3,1.0353322865369097,0.4987216541387012,4.3253873505542275,16.24473253186435,56.58,3,72.0,,0.1000000000001126,-1.6499999999996762,0.2784,0.8412,0.2737,0.8661,0.0277,1.0204,0.2983,0.8975,0.0533,0.7863,0.0491,0.9818,0.1375,0.7909,0.0058,0.9139,0.0,0.6288,0.1679,1.1182,0.0639,0.9653,0.3393,1.1272
Benthe Versteeg,benthe-versteeg-1,"pos    G
pos    G
Name: 520, dtype: object",Sacramento State,Big Sky Conference,Interior Big,3.0,11.321031536156942,5.3712078845063544,4.638031219979253,0.3185839380323195,1.480910265513745,0.4367100498211023,-3.446632344191443,24.96472988900162,49.98,4,69.0,,0.8800000000000189,2.97999999999937,0.0688,0.1944,0.0897,0.2196,0.0035,0.1911,0.1561,0.2824,0.1691,0.6416,0.1018,0.8738,0.1317,0.297,0.0055,0.4113,0.0,0.1418,0.1935,0.7056,0.0048,0.1669,0.178,0.4033
Lauren Gustin,lauren-gustin-1,"pos    F
pos    F
Name: 73, dtype: object",Brigham Young,Big 12 Conference,Interior Big,3.0,15.687918580181108,1.7587310051344467,15.268044175035124,0.3003662797610344,0.6750907012135992,0.5041532287213876,3.8711821796210097,25.416705392888744,40.48,3,73.0,,-1.000000000000229,3.0000000000006177,1.2694,0.4097,1.166,0.4518,0.1087,0.9797,0.5276,-0.0838,-0.0604,-0.7377,0.124,0.3322,0.2793,-0.2298,0.0309,0.9669,0.0,-0.5591,0.4757,0.8273,0.2078,0.5359,1.4112,1.5141
Amani Johnson,amani-johnson-1,"pos    G
pos    G
Name: 105, dtype: object",Kennesaw State,Atlantic Sun Conference,Floor General,2.0,11.259823457653797,4.753817454116717,3.5289107282373853,0.1634543635291793,1.5365456364708203,0.4581001000589512,-1.3767221788170223,19.359823457653796,56.16,2,66.0,,-2.79999999999889,-2.899999999998852,-0.0858,0.5323,-0.0577,0.5478,-0.0098,0.459,-0.0282,0.5724,0.1225,0.96,0.0657,1.0704,0.0322,0.6357,-0.0021,0.4946,0.0,0.5978,0.1003,0.8901,-0.0051,0.571,-0.0023,0.5944
Anna DeWolfe,anna-dewolfe-1,"pos    G
pos    G
Name: 3102, dtype: object",Notre Dame,Atlantic Coast Conference,Floor General,2.0,13.596196670635088,2.551648252574489,2.1752914108991415,0.1,1.2444876199947212,0.5193688374506107,4.296175287323692,21.6211542121136,49.99,3,68.0,,2.0999999999993224,-4.549999999998432,0.411,0.4562,0.364,0.4581,-0.0004,0.1368,-0.0168,0.1274,0.0895,0.407,0.0081,0.2009,0.2911,0.4858,0.0003,0.1597,0.0,0.1426,-0.0238,0.0731,0.0228,0.2625,-0.0517,0.0667
Meri Kanerva,meri-kanerva-1,"pos    G
pos    G
Name: 9, dtype: object",Xavier,Big East Conference,Floor General,2.0,10.488430077223802,3.72344087398918,2.464688174797836,0.064688174797836,1.1706236504043277,0.4749526863814065,-1.6940645243935082,20.259655784501703,47.21,2,69.0,,-0.3000000000000732,-1.100000000000269,-0.0131,-0.0725,-0.0137,-0.0744,-0.0134,-0.2523,-0.1989,-0.2417,0.0519,0.0908,0.0212,0.0902,0.0024,-0.0597,-0.0042,-0.2688,0.0,-0.0626,-0.0008,-0.0648,-0.001,-0.0676,-0.1239,-0.2446
Katie Nelson,katie-nelson-2,"pos    G
pos    G
Name: 10, dtype: object",Wisconsin,Big Ten Conference,Floor General,2.0,8.1,3.899999999999999,3.6,0.1,1.7,0.524,1.6,13.7,52.58,1,68.0,,0.0,0.0,0.0264,0.3538,0.0101,0.3424,-0.0037,0.2812,0.1807,0.4964,0.1867,0.8856,0.0779,0.8935,0.1289,0.4856,-0.006,0.0396,0.0,0.3336,0.1253,0.6987,0.048,0.5867,-0.1025,0.183
Sigrun Olafsdottir,sigrun-olafsdottir-1,"pos    G
pos    G
Name: 11, dtype: object",Chattanooga,Southern Conference,Floor General,2.0,6.760690085516344,2.2752334503177827,3.844734820833028,0.1408249117331245,1.7105869576806192,0.5310149611636197,0.8168569793030355,12.1365959161021,47.33,4,69.0,,2.079999999999877,0.3599999999999783,0.1678,0.0744,0.1297,0.0588,0.0087,0.0692,0.3322,0.2456,0.1888,0.5044,0.0624,0.3951,0.1739,0.1514,-0.0019,-0.1482,0.0,-0.0537,0.1092,0.2645,0.0599,0.2621,-0.0813,-0.1731
Yazz Wazeerud-din,yazz-wazeerud-din-1,"pos    G
pos    G
Name: 12, dtype: object",Chattanooga,Southern Conference,Floor General,2.0,14.510593953049062,1.3687266019817617,2.7,0.4339218862805033,1.29646868231698,0.5180441414710377,2.695585852896225,23.11235961189057,48.79,2,71.0,,-1.5000000000004208,3.600000000001012,0.4373,0.3877,0.4077,0.4074,0.0069,0.1522,0.1775,0.2139,0.0924,0.3271,-0.0009,0.0476,0.376,0.4974,0.0032,0.2116,0.0,0.054,-0.0095,0.0263,0.0164,0.1405,0.0545,0.134
Savannah Wheeler,savannah-wheeler-1,"pos    G
pos    G
Name: 13, dtype: object",Middle Tennessee,Conference USA,Floor General,2.0,17.336545940630455,4.071389880849685,4.1734030741285775,0.0905655784213825,1.3251774362079358,0.5413988692602322,6.5329055189221235,26.408779443515144,59.41,3,66.0,,-0.0999999999999812,-1.4000000000005712,0.577,1.2779,0.5422,1.3077,0.0186,1.1015,0.1854,1.0045,0.1427,1.2593,0.0696,1.3378,0.4213,1.3343,0.0035,1.0097,0.0,0.8376,0.1323,1.223,0.0744,1.2296,0.2831,1.2535
Haley Cavinder,haley-cavinder-1,"pos    G
pos    G
Name: 402, dtype: object",Miami (FL),Atlantic Coast Conference,Floor General,2.0,16.993945655937598,4.319358738433526,6.546864291520892,0.1610282131816739,0.8802127252908489,0.5418331507147216,7.90665465192397,26.069815727530138,51.23,3,66.0,,0.1857142857143454,-0.0285714285717486,0.8062,0.8493,0.7384,0.8742,0.0396,0.7945,0.116,0.3386,0.0454,0.3683,0.0732,0.7604,0.357,0.655,0.0084,0.6465,0.0,0.234,0.1977,0.8101,0.1269,0.9027,0.5419,1.0301
Jennifer Coleman,jennifer-coleman-1,"pos    G
pos    G
Name: 15, dtype: object",Navy,Patriot League,Interior Big,3.0,22.2,4.8,10.7,0.1,2.8,0.488,7.299999999999999,37.1,39.87,1,69.0,,0.0,0.0,0.8976,0.0809,0.8736,0.1533,0.0684,0.3642,1.2228,0.4974,0.4666,0.7755,0.2814,1.4192,0.8738,0.4261,0.0172,0.2467,0.0,-0.6041,0.6506,1.292,0.1577,0.2271,1.1585,1.098
Zakiyah Winfield,zakiyah-winfield-1,"pos    G
pos    G
Name: 16, dtype: object",Buffalo,Mid-American Conference,Interior Big,3.0,14.8,3.9,10.5,0.5,1.8,0.508,3.0,23.700000000000003,56.65,1,67.0,,0.0,0.0,0.8191,1.259,0.7565,1.2898,0.0711,1.6408,0.9157,1.4588,0.2382,1.3381,0.1729,1.8773,0.5151,1.2413,0.0176,1.5019,0.0,0.6339,0.4769,2.0236,0.1634,1.4953,0.9104,1.9714
Una Jovanovic,una-jovanovic-1,"pos    G
pos    G
Name: 15502, dtype: object",Texas Christian,Big 12 Conference,Floor General,2.0,8.194707415311854,2.8053757097188488,2.589684856206943,0.073781370585839,0.5354000872799937,0.5078458116151171,2.1533026129307085,17.196682876397972,55.07,4,69.0,,2.219999999999904,-1.080000000001171,0.1286,0.6155,0.0961,0.6007,-0.0043,0.4561,-0.3367,0.2141,-0.0611,0.3368,-0.0198,0.3749,-0.075,0.4289,-0.0032,0.3611,0.0,0.5174,-0.0583,0.3474,0.0283,0.6665,-0.1119,0.3529
Alba Orois,alba-orois-1,"pos    G
pos    G
Name: 18, dtype: object",Maine,America East Conference,Interior Big,3.0,9.9,5.8,2.8,0.1,1.3,0.523,-3.2,19.1,52.51,1,67.0,,0.0,0.0,0.3585,0.6021,0.2951,0.5843,0.0073,0.4324,-0.1653,0.1796,0.0951,0.6097,0.0617,0.7723,0.0523,0.3902,0.0008,0.3699,0.0,0.3285,0.082,0.5675,0.075,0.7235,-0.0529,0.2508
Re'Shawna Stone,reshawna-stone-1,"pos    G
pos    G
Name: 19, dtype: object",Buffalo,Mid-American Conference,Interior Big,3.0,17.4,3.8,5.3,0.0,1.5,0.577,2.5,25.8,54.15,1,66.0,,0.0,0.0,0.9145,1.1474,0.8141,1.1553,0.0312,0.8915,-0.0713,0.3852,0.0822,0.6925,0.0728,0.9732,0.3504,0.8626,0.0062,0.7568,0.0,0.4495,0.133,0.8372,0.1226,1.0958,0.3409,0.9503
Aliya McIver,aliya-mciver-1,"pos    G
pos    G
Name: 20, dtype: object",Rider,Metro Atlantic Athletic Conference,Floor General,2.0,7.809568503549532,3.2787015687483057,5.229356312201496,0.2582006057746085,1.850525521635067,0.4235542760998165,-3.902852441105106,18.61209279299446,50.46,3,69.0,,-0.0999999999998899,3.700000000000713,-0.2518,-0.0149,-0.197,0.0065,-0.003,0.1348,0.3173,0.4631,0.2055,0.7848,0.1086,0.958,0.0388,0.223,0.0011,0.2332,0.0,0.1772,0.2042,0.7724,-0.0197,0.0733,0.1085,0.3366
Kenley McCarn,kenley-mccarn-1,"pos    G
pos    G
Name: 249, dtype: object",Tennessee-Martin,Ohio Valley Conference,Floor General,2.0,15.344206655983491,2.324559054908493,4.708081521167688,0.2285531645787376,1.475771087465322,0.5248942188853657,-0.0216033993650054,25.104456002617734,53.96,4,71.0,,-0.3999999999998654,-1.48999999999986,0.5102,0.8248,0.4703,0.8432,0.0217,0.7424,0.1124,0.5367,0.0754,0.6584,0.0441,0.7523,0.2784,0.7638,0.0035,0.6098,0.0,0.4355,0.0981,0.7213,0.0697,0.8028,0.2871,0.8573
Ainhoa Cea,ainhoa-cea-1,"pos    G
pos    G
Name: 22, dtype: object",Eastern Michigan,Mid-American Conference,Interior Big,3.0,6.521002669715179,5.096628461101765,4.540801862790504,0.0930933109872196,1.7832308737594746,0.5268955885811828,-2.138170329276671,14.731666389644198,54.18,4,66.0,,1.5299999999997846,1.6699999999998176,0.2347,0.6308,0.1749,0.6033,0.0142,0.652,0.2345,0.663,0.213,1.0815,0.1162,1.2869,0.111,0.5826,-0.0004,0.434,0.0,0.4517,0.2095,1.0622,0.095,0.9524,0.0145,0.473
Amaris Baker,amaris-baker-1,"pos    G
pos    G
Name: 117, dtype: object",Drexel,Coastal Athletic Association,Floor General,2.0,16.622889340192916,1.6264272886102142,4.0983872835049535,0.0176556378221965,0.7844451371593696,0.4911477629670687,-0.2858259749252975,27.24965347899091,59.33,4,67.0,,1.5685714285715608,4.111428571428346,0.4893,1.205,0.4629,1.233,0.0086,0.954,-0.4715,0.4069,-0.1157,0.4895,-0.0272,0.6359,0.0498,0.8904,0.0062,1.1398,0.0,0.8316,-0.0683,0.6327,0.0048,0.8571,0.2214,1.1569
Belle Lanpher,belle-lanpher-1,"pos    G
pos    G
Name: 24, dtype: object",Central Connecticut State,Northeast Conference,Interior Big,3.0,16.63545658843929,2.9791344441303655,3.875463987500485,0.0781755523103243,1.4774630117956655,0.5202310026713586,-1.6501906457281612,26.829344046572302,58.15,4,65.0,,2.349999999999714,3.679999999999765,0.4649,1.0994,0.437,1.1235,0.0072,0.8472,-0.2035,0.5613,0.0536,0.9031,0.0418,1.0453,0.1918,0.9707,0.0028,0.883,0.0,0.7446,0.0451,0.8761,0.0346,0.9267,0.1731,0.9988
Kayla Padilla,kayla-padilla-1,"pos    G
pos    G
Name: 2519, dtype: object",Southern California,Pac-12 Conference,Floor General,2.0,12.438902508916556,3.109206491355066,2.957297128279663,0.3782757955819029,0.9115790024335264,0.570779821556917,7.707879623182426,18.25654098705626,52.98,3,69.0,,1.0999999999995476,-5.349999999998301,0.5186,0.7589,0.4561,0.7585,0.0099,0.503,0.1083,0.4607,0.0789,0.5964,0.0107,0.4403,0.3543,0.7808,-0.0017,0.2789,0.0,0.3632,0.0176,0.4145,0.082,0.7954,-0.0138,0.3429
Kaitlin Peterson,kaitlin-peterson-1,"pos    G
pos    G
Name: 13029, dtype: object",Mississippi,Southeastern Conference,Floor General,2.0,14.64629504291338,1.668600799366828,2.3750995326589677,0.060759184503045,1.663227012362253,0.4557870648329252,5.457745266131301,26.11531720840898,43.81,5,69.0,,1.6099999999996208,2.1599999999989827,0.0092,-0.3064,0.0472,-0.2725,-0.0164,-0.5456,0.2062,-0.1276,0.189,0.2454,0.0474,0.0275,0.3466,0.0952,-0.0014,-0.3803,0.0,-0.3134,0.0336,-0.2156,-0.0554,-0.6052,0.0254,-0.2761
Andra Espinoza-Hunter,andra-espinoza-hunter-1,"pos    G-F
pos    G-F
Name: 27, dtype: object",Seton Hall,Big East Conference,Floor General,2.0,15.0,2.5,5.4,0.3,1.8,0.504,3.6,22.9,58.57,1,71.0,,0.0,0.0,0.3421,1.0366,0.3278,1.0598,0.0182,1.0327,0.5023,1.228,0.1953,1.3531,0.0807,1.356,0.4242,1.2757,0.0019,0.8697,0.0,0.7756,0.1923,1.336,0.0569,1.0752,0.3164,1.2405
Ciaja Harbison,ciaja-harbison-1,"pos    G
pos    G
Name: 80, dtype: object",Vanderbilt,Southeastern Conference,Interior Big,3.0,18.87065253252613,3.7359217007416574,2.7568841775087094,0.0652691682155298,2.017960850370829,0.4958861338289695,4.238303438656031,29.935921700741662,41.75,2,66.0,,6.799999999997305,2.09999999999917,0.4263,-0.14,0.415,-0.1056,-0.0015,-0.4864,0.1678,-0.3142,0.2309,0.2171,0.0843,0.141,0.4846,0.1059,0.0025,-0.341,0.0,-0.4654,0.1089,-0.1479,0.0051,-0.4385,0.1608,-0.2292
Aleah Nelson,aleah-nelson-1,"pos    G
pos    G
Name: 1667, dtype: object",Temple,American Athletic Conference,Floor General,2.0,13.211641645204669,4.278424535844704,3.3,0.1,1.1039386603882408,0.4747448587545646,3.986301856621185,22.097943501825853,45.71,2,66.0,,0.8000000000003217,-3.600000000001446,0.0177,-0.1597,0.0438,-0.1352,-0.0094,-0.3068,-0.0975,-0.261,0.0674,0.026,0.0369,0.0922,0.1023,-0.0526,-0.0029,-0.3183,0.0,-0.1732,0.0503,-0.0267,-0.0002,-0.1741,0.0397,-0.1149
Naomi White,naomi-white-1,"pos    G
pos    G
Name: 30, dtype: object",Northern Arizona,Big Sky Conference,Combo Guard,1.0,20.8,1.8,5.3,0.5,1.8999999999999997,0.512,0.1,29.4,37.19,1,69.0,,0.0,0.0,0.5979,-0.3456,0.5758,-0.3027,0.0217,-0.4952,0.3128,-0.52,0.1343,-0.4048,0.0545,-0.4098,0.5047,-0.2068,0.0053,-0.5425,0.0,-0.8018,0.1348,-0.4089,0.0491,-0.5429,0.4298,-0.1704
Jaiyah Smith,jaiyah-harris-smith-1,"pos    G
pos    G
Name: 5481, dtype: object",Alabama A&M,Southwest Athletic Conference,Interior Big,3.0,4.569919455955252,4.460517656615043,4.25406866616867,0.0254756982427717,1.5835319267845682,0.4221073741678755,-2.443382249724249,13.39323416087195,45.49,4,66.0,,-0.770000000000008,1.2999999999997234,-0.3872,-0.4849,-0.3485,-0.4916,-0.0119,-0.3573,0.184,-0.0237,0.197,0.393,0.1069,0.5794,-0.0964,-0.3031,-0.0023,-0.3019,0.0,-0.1895,0.1793,0.3332,-0.0164,-0.2759,-0.0762,-0.3013
Dyaisha Fair,dyaisha-fair-1,"pos    G
pos    G
Name: 33, dtype: object",Syracuse,Atlantic Coast Conference,Floor General,2.0,21.79392693519197,3.937411935598676,4.327996396457416,0.1503040159861637,2.3411459527265106,0.5204288422334962,12.173704290490956,28.071268759572497,57.12,3,65.0,,2.099999999999419,-0.5500000000001568,0.6626,1.1743,0.6337,1.218,0.0132,0.8556,0.5921,1.202,0.3467,1.6935,0.1295,1.6,0.7884,1.5981,0.004,0.8661,0.0,0.6686,0.2342,1.3511,0.0508,0.9362,0.3558,1.1913
Grace Larkins,grace-larkins-1,"pos    G
pos    G
Name: 34, dtype: object",South Dakota,Summit League,Interior Big,3.0,19.738672382635116,4.89075139258418,8.228606143729579,0.3822425498440617,1.722807282106548,0.5584884308897603,5.814074637960689,31.95483146249255,48.85,4,69.0,,0.6500000000000231,5.149999999999717,1.1527,0.9381,1.0622,0.9793,0.0641,0.9652,0.6698,0.6618,0.2595,0.8257,0.1742,1.3108,0.7081,0.8933,0.0166,0.879,0.0,0.0584,0.4143,1.2658,0.1765,0.9888,0.8291,1.2765
JaQuoia Jones-Brown,jaquoia-jones-brown-1,"pos    G
pos    G
Name: 35, dtype: object",Long Beach State,Big West Conference,Interior Big,3.0,14.584700775496524,1.9841115098139217,6.269242967928075,0.2,1.1989800516997684,0.5034154578075685,-0.01690843848631,23.540095149838987,55.26,2,66.0,,1.8000000000004412,10.500000000002574,0.4502,0.8749,0.4265,0.9011,0.0236,0.8654,-0.045,0.4908,-0.0034,0.5214,0.0389,0.8112,0.1245,0.6782,0.0071,0.8804,0.0,0.5314,0.1088,0.8486,0.0499,0.7943,0.389,1.1028
Mackenzie Amalia,mackenzie-amalia-1,"pos    G
pos    G
Name: 36, dtype: object",Eastern Michigan,Mid-American Conference,Interior Big,3.0,8.150010663599932,3.957871562674546,2.6287369886801044,0.0658418457955711,1.2353764909914655,0.4226860749770683,-5.979998775042985,18.94990430355665,57.24,4,65.0,,-1.569999999999959,1.4600000000000768,-0.5201,0.2805,-0.4417,0.2945,-0.0329,0.2114,-0.3656,0.3482,0.0194,0.7347,0.0231,0.8436,-0.2593,0.3717,-0.0087,0.2458,0.0,0.6775,-0.011,0.6454,-0.0632,0.3446,-0.209,0.3704
McKenna Hofschild,mckenna-hofschild-1,"pos    G
pos    G
Name: 153, dtype: object",Colorado State,Mountain West Conference,Floor General,2.0,20.622364315108356,7.113263494783444,3.795297986203936,0.1,1.0327254343916308,0.5626449442426105,7.303744922104917,30.76615287026561,56.87,3,65.0,,2.4000000000004795,2.6000000000005925,0.9131,1.3469,0.8323,1.3717,0.0256,1.0132,-0.0471,0.6078,0.1219,1.0105,0.0908,1.3031,0.4779,1.2136,0.0058,0.9357,0.0,0.6502,0.1611,1.1196,0.1261,1.3149,0.3525,1.168
Abby Conklin,abby-conklin-1,"pos    G
pos    G
Name: 2191, dtype: object",FDU,Northeast Conference,Floor General,2.0,6.971439252877519,2.5372011824207625,3.1158186399638192,0.1806709515679475,0.8383371725532454,0.471507407338074,-2.145063714968127,13.687374435987271,52.16,4,67.0,,-1.2500000000000748,1.7199999999999365,-0.2464,0.1146,-0.2112,0.1196,-0.0145,0.0981,-0.2738,0.056,-0.0357,0.197,-0.0109,0.2242,-0.2071,0.0585,-0.0059,0.0112,0.0,0.3027,-0.0429,0.1776,-0.0143,0.2273,-0.1708,0.0517
Abby Antognoli,abby-antognoli-1,"pos    G
pos    G
Name: 138, dtype: object",Lafayette,Patriot League,Floor General,2.0,12.077864420032675,3.4248207659737417,3.966444465215363,0.1890272176848492,1.2940879005480468,0.4675022272606847,-2.393562827547248,23.460034967908868,47.8,4,67.0,,-0.6299999999999949,0.9099999999999788,0.0668,0.032,0.0724,0.0438,-0.0031,-0.0632,-0.1425,-0.1474,0.041,0.1022,0.0389,0.2606,0.0337,0.0207,-0.0019,-0.1109,0.0,-0.019,0.0585,0.1514,0.0134,0.0518,0.0883,0.1107
Cierra Hooks,cierra-hooks-1,"pos    G
pos    G
Name: 41, dtype: object",Ohio,Mid-American Conference,Interior Big,3.0,22.3,3.7999999999999994,8.4,0.6,2.9,0.503,7.2,31.100000000000005,42.51,1,68.0,,0.0,0.0,1.1836,0.4939,1.1091,0.5522,0.0596,0.4346,1.1748,0.6489,0.4714,0.9842,0.2175,1.1546,1.034,0.8098,0.0237,0.7609,0.0,-0.4093,0.4911,1.022,0.1047,0.1426,0.8588,0.8524
Darrione Rogers,darrione-rogers-1,"pos    G
pos    G
Name: 11598, dtype: object",Miami (FL),Atlantic Coast Conference,Floor General,2.0,10.592763797126084,2.859186318830013,3.859320514392953,0.2413972005741248,0.8542164113181165,0.5357191446362431,5.482540401423917,20.832334093459245,44.15,4,71.0,,0.3800000000000279,-1.7199999999999835,0.253,-0.0952,0.2347,-0.0849,0.0062,-0.2011,-0.0394,-0.3238,0.0144,-0.2459,0.0157,-0.1754,0.1431,-0.1195,-0.0033,-0.4529,0.0,-0.2883,0.0376,-0.1788,0.0592,0.0235,0.0858,-0.1623
Jalynn Gregory,jalynn-gregory-1,"pos    G
pos    G
Name: 63, dtype: object",Middle Tennessee,Conference USA,Floor General,2.0,12.655018159990483,2.113706236984297,3.7707652408632817,0.1908896495074582,1.7036807593220429,0.5596474872354891,6.204405183780778,18.31649031854119,49.03,4,68.0,,0.6899999999999397,0.6799999999999732,0.3626,0.3484,0.338,0.3648,0.011,0.2281,0.4203,0.4504,0.2089,0.6894,0.0589,0.495,0.4167,0.563,-0.0016,-0.0079,0.0,0.0717,0.1075,0.3851,0.0628,0.4027,0.0558,0.1537
Liv McGill,liv-mcgill-1,"pos    G
pos    G
Name: 44, dtype: object",Florida,Southeastern Conference,Interior Big,3.0,20.23965406699439,5.8856032456156395,5.534913516748599,0.4246551355664798,2.4116378389162,0.5088698270334973,8.67258594896536,32.76844757576312,52.4,2,69.0,,1.4000000000003407,6.000000000001467,0.8714,0.9854,0.8238,1.0345,0.0345,0.8093,0.902,1.1329,0.4444,1.634,0.1932,1.7096,0.9039,1.3861,0.0134,0.9834,0.0,0.3204,0.3914,1.461,0.0895,0.7922,0.5478,1.1252
Sophia Ramos,sophia-ramos-1,"pos    G
pos    G
Name: 1343, dtype: object",San Diego State,Mountain West Conference,Floor General,2.0,13.0627259773148,3.54496986969136,4.465090390925919,0.32248493484568,1.6937876628857995,0.5069230415299384,4.6,22.45266571669752,52.89,2,69.0,,0.0,-2.999999999998809,0.2905,0.5782,0.282,0.601,0.0138,0.5525,0.4968,0.804,0.2228,1.0152,0.0875,0.9859,0.4108,0.8408,0.0017,0.4382,0.0,0.3565,0.1901,0.9106,0.0542,0.6421,0.2119,0.6678
Jenna Annecchiarico,jenna-annecchiarico-1,"pos    G
pos    G
Name: 46, dtype: object",College of Charleston,Coastal Athletic Association,Floor General,2.0,14.9,5.7,4.5,0.2,2.8,0.526,3.8,20.5,48.19,1,66.0,,0.0,0.0,0.3734,0.2947,0.3598,0.3217,0.0137,0.2033,0.7285,0.666,0.4418,1.3158,0.1791,1.2978,0.5713,0.6833,0.0031,0.1645,0.0,0.0097,0.3251,0.9572,0.0648,0.3513,0.1803,0.2746
Kymora Johnson,kymora-johnson-1,"pos    G
pos    G
Name: 48, dtype: object",Virginia,Atlantic Coast Conference,Floor General,2.0,18.3565604808801,5.791379501831109,4.98726386817779,0.2764410999103822,1.9922700342168624,0.5424762318255781,10.088655702087046,26.473011269150668,48.0,3,67.0,,0.6500000000001596,2.1000000000003345,0.7017,0.5312,0.6515,0.5605,0.0261,0.365,0.6358,0.5685,0.3353,0.9869,0.1505,1.0781,0.7046,0.8264,0.0044,0.2115,0.0,-0.0043,0.3031,0.8792,0.1115,0.5833,0.3876,0.5651
Izzy Higginbottom,izzy-higginbottom-1,"pos    G
pos    G
Name: 401, dtype: object",Arkansas,Southeastern Conference,Interior Big,3.0,21.559742272494507,3.5256462617100404,4.0873550273023715,0.2263996832509909,1.278846666021743,0.5519351701485193,6.860807531631404,31.31245119786166,40.01,4,67.0,,2.3400000000001717,6.140000000000159,0.7906,0.0096,0.7436,0.0509,0.0205,-0.3038,0.0778,-0.5236,0.1051,-0.2831,0.0527,-0.2151,0.5263,0.0268,0.0058,-0.3062,0.0,-0.5938,0.0992,-0.3047,0.071,-0.2195,0.3743,-0.0439
Peyton Carter,peyton-carter-3,"pos    G
pos    G
Name: 50, dtype: object",Tennessee Tech,Ohio Valley Conference,Floor General,2.0,9.304018227925845,3.296517113636576,4.723541104843246,0.2142443749901476,1.4404846464768426,0.5645033805385602,2.2565892377450134,15.24591487991493,51.58,4,68.0,,2.2600000000001104,2.5599999999999627,0.3246,0.5075,0.2914,0.5125,0.0176,0.5095,0.1665,0.4098,0.1221,0.6207,0.069,0.7562,0.1579,0.446,-0.0014,0.1886,0.0,0.2599,0.1403,0.6687,0.0973,0.7724,0.0901,0.3922
