player,player_id,pos,team,conference,archetype,cluster,pts_per_g,ast_per_g,treb_per_g,blk_per_g,stl_per_g,ts_pct,bpm,usg_pct,readiness_score,n_seasons,height_in,weight_lbs,trend_bpm,trend_pts_per_g,Atlanta Dream_fit,Atlanta Dream_total,Chicago Sky_fit,Chicago Sky_total,Connecticut Sun_fit,Connecticut Sun_total,Dallas Wings_fit,Dallas Wings_total,Indiana Fever_fit,Indiana Fever_total,Las Vegas Aces_fit,Las Vegas Aces_total,Los Angeles Sparks_fit,Los Angeles Sparks_total,Minnesota Lynx_fit,Minnesota Lynx_total,New York Liberty_fit,New York Liberty_total,Phoenix Mercury_fit,Phoenix Mercury_total,Seattle Storm_fit,Seattle Storm_total,Washington Mystics_fit,Washington Mystics_total
Jordan Hodges,jordan-hodges-1,"pos    G
pos    G
Name: 7100, dtype: object",Liberty,Conference USA,Floor General,2.0,6.96871411986365,3.221598972912103,2.948030171088595,0.1371738753549409,0.7331076938359725,0.4975909596039773,0.5621125889172992,17.30722841258594,55.51,4,66.0,,2.9200000000000945,2.0100000000000113,-0.0208,0.5339,-0.03,0.5238,-0.0066,0.4559,-0.2303,0.3423,-0.0173,0.4988,0.0036,0.5756,-0.0907,0.4429,-0.0052,0.2952,0.0,0.5498,-0.0123,0.5139,0.0263,0.6886,-0.1098,0.3885
Agnes Emma-Nnopu,agnes-emma-nnopu-1,"pos    G
pos    G
Name: 4913, dtype: object",Texas Christian,Big 12 Conference,3-and-D Wing,0.0,7.725332732427064,1.4269895416370122,6.080620129467117,0.7997748087048576,0.7725672147735074,0.541449397353902,8.218538158493853,15.271287457010695,45.42,3,71.0,,0.0499999999999369,1.6500000000001205,0.5213,0.2032,0.4761,0.2182,0.0351,0.3025,0.5845,0.3319,0.0901,0.0719,0.0308,0.0267,0.3795,0.2529,0.0084,0.22,0.0,-0.1946,0.1532,0.2518,0.0872,0.2649,0.2772,0.2126
Sa'Mya Wyatt,samya-wyatt-1,"pos    F
pos    F
Name: 7171, dtype: object",St. John's (NY),Big East Conference,Interior Big,3.0,11.701015353511236,0.9735238915508574,5.195110919714665,0.4421587028163808,0.6264761084491426,0.5683339589575696,1.3244454014266702,23.84012799579391,43.73,2,71.0,,3.4999999999999662,-1.8999999999999837,0.958,0.4118,0.8328,0.4027,0.0437,0.2997,0.0191,-0.3021,-0.0626,-0.5044,-0.0092,-0.3854,0.2774,0.0078,0.0121,0.2775,0.0,-0.3193,0.0386,-0.2068,0.1141,0.282,0.3506,0.1958
Kelsey Marshall,kelsey-marshall-1,"pos    G
pos    G
Name: 1686, dtype: object",Miami (FL),Atlantic Coast Conference,Floor General,2.0,13.7,2.7,3.4,0.3,1.3,0.519,8.7,24.8,36.12,1,69.0,,0.0,0.0,0.4189,-0.5611,0.3876,-0.5447,0.0106,-0.7303,0.4054,-0.5155,0.1804,-0.3475,0.054,-0.4926,0.491,-0.3018,0.0004,-0.8591,0.0,-0.8808,0.1096,-0.5612,0.0545,-0.5934,0.1577,-0.6491
Molly Mogensen,molly-mogensen-1,"pos    G
pos    G
Name: 2645, dtype: object",Creighton,Big East Conference,Floor General,2.0,8.158367521435148,3.8753097538434296,4.783453088658574,0.2148256983074089,1.0180101662929917,0.5475697146669706,6.43993642804735,16.463529898946593,57.32,4,67.0,,-0.3099999999999943,0.9100000000000814,0.3902,0.9811,0.3274,0.9672,0.0231,1.0107,0.3065,0.9595,0.1231,1.0473,0.0682,1.1738,0.2394,0.9656,-0.0001,0.676,0.0,0.6834,0.1615,1.154,0.1147,1.2878,0.1486,0.9016
Sydney Shaw,sydney-shaw-1,"pos    G
pos    G
Name: 1691, dtype: object",West Virginia,Big 12 Conference,3-and-D Wing,0.0,11.165470533337764,1.9341577137018908,3.941352265031189,0.3671919115249845,1.637901887505569,0.5445043311228086,10.41053623556613,18.493876305220983,42.23,4,67.0,,3.5499999999990552,1.9799999999994395,0.4821,-0.062,0.4328,-0.0547,0.0209,-0.1341,0.6934,0.1947,0.2536,0.3197,0.0708,0.0793,0.5658,0.2371,0.0018,-0.3401,0.0,-0.43,0.1569,0.0272,0.0789,-0.0142,0.1466,-0.2145
Alecia Doyle,alecia-doyle-1,"pos    G
pos    G
Name: 1976, dtype: object",Northern Illinois,Mid-American Conference,Interior Big,3.0,11.536309217337427,1.3137978602218814,4.061590811426968,0.1119211076954707,0.675825842273058,0.4756446997523137,-3.010267777081857,22.633104492263406,40.93,3,68.0,,0.3500000000000353,2.7499999999999627,0.052,-0.4862,0.066,-0.4687,-0.0021,-0.5553,-0.4221,-0.9061,-0.1329,-0.9188,-0.0345,-0.7741,-0.1467,-0.6988,-0.0003,-0.539,0.0,-0.5259,-0.0681,-0.7245,-0.0119,-0.5884,0.0961,-0.3846
Ashley Sofilkanich,ashley-sofilkanich-1,"pos    F
pos    F
Name: 11016, dtype: object",Michigan,Big Ten Conference,Post Scorer,4.0,13.319932533462689,1.6881474427559453,6.255982679536345,1.691451590369283,0.7635759234460027,0.5391904514330413,6.448398233251878,28.272051403468257,64.29,3,75.0,,3.900000000000655,-2.399999999999009,1.2275,2.1343,1.1193,2.1679,0.0665,2.1384,1.169,2.2506,0.1975,1.7816,0.0534,1.5814,0.9641,2.3342,0.0263,2.4971,0.0,1.1976,0.252,1.9319,0.1116,1.7856,0.6343,2.1294
Malia Fisher,malia-fisher-1,"pos    F
pos    F
Name: 3939, dtype: object",Rice,American Athletic Conference,Interior Big,3.0,12.428981241623902,1.8948527922735097,6.809694186909678,0.860742617201607,1.5334428614196058,0.507769563574897,4.195232719691063,25.71215654743712,55.12,4,74.0,,0.5099999999998203,0.6399999999999499,0.7176,1.0686,0.6678,1.1,0.0475,1.1935,0.9315,1.3601,0.2437,1.2414,0.1024,1.257,0.6459,1.2826,0.016,1.3088,0.0,0.521,0.29,1.3662,0.0841,0.9644,0.5552,1.3367
Leigha Brown,leigha-brown-1,"pos    G
pos    G
Name: 1695, dtype: object",Michigan,Big Ten Conference,Floor General,2.0,16.49450103913681,5.110514998265241,4.554157706959983,0.4000000000000001,1.3574570834778967,0.5823484437131364,12.728728541738947,27.9149141669558,33.98,2,73.0,,-0.1000000000000278,3.500000000000986,1.0282,-0.254,0.9256,-0.2362,0.0405,-0.4656,0.6166,-0.4832,0.2714,-0.2364,0.1197,-0.1781,0.7685,-0.1325,0.0101,-0.5393,0.0,-1.0387,0.2599,-0.2812,0.1429,-0.2857,0.4173,-0.4256
Sydney Watkins,sydney-watkins-2,"pos    G
pos    G
Name: 1967, dtype: object",Massachusetts-Lowell,America East Conference,Interior Big,3.0,6.659109928932137,2.5476688065526885,4.486664105980145,0.4593578212650343,2.434744137627648,0.448511119473139,-1.938413199440378,17.340725010201968,45.9,4,68.0,,0.8200000000001627,2.6400000000000925,0.0007,-0.1587,-0.0073,-0.1656,0.0054,-0.0834,0.8275,0.5862,0.3928,1.002,0.1478,0.9033,0.3859,0.2958,0.0038,0.029,0.0,-0.1592,0.2665,0.6175,0.0053,-0.1314,0.0609,-0.0698
