season_year,team_id,team,conference,win_pct,conf_opp_win_pct,overall_opp_win_pct,opp_win_pct
2018,temple,Temple,American Athletic Conference,0.3871,0.5483,0.4998,0.5338
2018,tulsa,Tulsa,American Athletic Conference,0.3226,0.5542,0.4998,0.5379
2018,drake,Drake,Missouri Valley Conference,0.7647,0.4184,0.4998,0.4429
2018,missouri-state,Missouri State,Missouri Valley Conference,0.6364,0.4327,0.4998,0.4528
2018,northern-iowa,Northern Iowa,Missouri Valley Conference,0.5758,0.4394,0.4998,0.4575
2018,southern-illinois,Southern Illinois,Missouri Valley Conference,0.5484,0.4425,0.4998,0.4597
2018,indiana-state,Indiana State,Missouri Valley Conference,0.3667,0.4627,0.4998,0.4738
2018,illinois-state,Illinois State,Missouri Valley Conference,0.4667,0.4515,0.4998,0.466
2018,bradley,Bradley,Missouri Valley Conference,0.4194,0.4568,0.4998,0.4697
2018,valparaiso,Valparaiso,Missouri Valley Conference,0.4194,0.4568,0.4998,0.4697
2018,loyola-il,Loyola (IL),Missouri Valley Conference,0.2333,0.4775,0.4998,0.4842
2018,evansville,Evansville,Missouri Valley Conference,0.1,0.4923,0.4998,0.4946
2018,gonzaga,Gonzaga,West Coast Conference,0.8182,0.4661,0.4998,0.4762
2018,saint-marys-ca,Saint Mary's,West Coast Conference,0.6452,0.4853,0.4998,0.4897
2018,loyola-marymount,Loyola Marymount,West Coast Conference,0.6333,0.4866,0.4998,0.4906
2018,brigham-young,Brigham Young,West Coast Conference,0.5333,0.4977,0.4998,0.4984
2018,san-francisco,San Francisco,West Coast Conference,0.5161,0.4996,0.4998,0.4997
2018,san-diego,San Diego,West Coast Conference,0.5312,0.498,0.4998,0.4985
2018,pacific,Pacific,West Coast Conference,0.4688,0.5049,0.4998,0.5034
2018,pepperdine,Pepperdine,West Coast Conference,0.3333,0.5199,0.4998,0.5139
2018,santa-clara,Santa Clara,West Coast Conference,0.3,0.5236,0.4998,0.5165
2018,portland,Portland,West Coast Conference,0.2333,0.5311,0.4998,0.5217
2018,dayton,Dayton,Atlantic 10 Conference,0.7667,0.4625,0.4998,0.4737
2018,duquesne,Duquesne,Atlantic 10 Conference,0.7576,0.4632,0.4998,0.4742
2018,fordham,Fordham,Atlantic 10 Conference,0.7059,0.4671,0.4998,0.477
2018,george-mason,George Mason,Atlantic 10 Conference,0.7059,0.4671,0.4998,0.477
2018,george-washington,George Washington,Atlantic 10 Conference,0.5758,0.4772,0.4998,0.484
2018,saint-josephs,Saint Joseph's,Atlantic 10 Conference,0.5588,0.4785,0.4998,0.4849
2018,saint-louis,Saint Louis,Atlantic 10 Conference,0.5152,0.4818,0.4998,0.4872
2018,richmond,Richmond,Atlantic 10 Conference,0.4516,0.4867,0.4998,0.4906
2018,davidson,Davidson,Atlantic 10 Conference,0.4,0.4907,0.4998,0.4934
2018,massachusetts,Massachusetts,Atlantic 10 Conference,0.4667,0.4855,0.4998,0.4898
2018,virginia-commonwealth,Virginia Commonwealth,Atlantic 10 Conference,0.2414,0.5029,0.4998,0.502
2018,la-salle,La Salle,Atlantic 10 Conference,0.2667,0.5009,0.4998,0.5006
2018,st-bonaventure,St. Bonaventure,Atlantic 10 Conference,0.2667,0.5009,0.4998,0.5006
2018,rhode-island,Rhode Island,Atlantic 10 Conference,0.1,0.5137,0.4998,0.5096
2018,boise-state,Boise State,Mountain West Conference,0.697,0.4696,0.4998,0.4787
2018,nevada-las-vegas,Nevada-Las Vegas,Mountain West Conference,0.6129,0.478,0.4998,0.4846
2018,wyoming,Wyoming,Mountain West Conference,0.6667,0.4727,0.4998,0.4808
2018,colorado-state,Colorado State,Mountain West Conference,0.6364,0.4757,0.4998,0.4829
