player_id,player,pos,n_seasons,most_recent_year,total_mp,mpg_latest,mpg,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,oreb_per_g,dreb_per_g,treb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,oreb_pct,dreb_pct,treb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,wins,losses,trend_bpm,trend_pts_per_g,trend_ws_per_40,conference,team,team_id,adj_opp_win_pct,opp_win_pct,height_in,weight_lbs,cluster,pca1,pca2,archetype,archetype_score,rank_in_archetype,ast_tov_ratio,three_rate,inside_score,def_composite,is_multi_year,readiness_score
D'Shantae Edwards,D'Shantae Edwards,G,1,2025,660,21.7,21.7,1.6,5.2,0.305,0.3999999999999999,1.1,0.317,1.2,4.1,0.301,0.34,1.2,2.2,0.557,0.7999999999999999,1.1,1.9,1.1,1.4,0.0999999999999999,1.3,2.7,4.8,21.2,0.549,0.015,0.279,10.2,19.6,0.145,0.042,1.9,6.3999999999999995,13.0,0.198,1.4999999999999998,1.4999999999999998,2.9999999999999996,0.18,-0.0999999999999999,0.3,0.1999999999999999,21.0,15.000000000000002,0.0,0.0,0.0,Southwest Athletic Conference,Southern,southern,0.4995,0.4782,,,1,0.577802811,-0.379652506,Balanced Contributor,1.341914340980073,92.0,0.7857142857142857,0.2075471698113208,0.3611999999999999,3.0,0,51.72
Kehinde Obasuyi,Kehinde Obasuyi,G,1,2025,514,21.7,21.7,2.2,7.299999999999999,0.303,1.0,3.3,0.3,1.2,4.0,0.306,0.371,1.8000000000000005,1.8999999999999997,0.9409999999999998,0.0,1.7,1.7,2.2,0.7,0.0,1.8000000000000005,2.4,7.200000000000001,6.3,0.4639999999999999,0.452,0.322,2.8,9.1,0.0599999999999999,0.036,2.1,1.8000000000000005,22.3,0.161,0.0,0.4,0.4,0.031,-4.6,-1.5,-6.1,13.0,17.0,0.0,0.0,0.0,Southern Conference,Western Carolina,western-carolina,0.4587,0.4604,,,1,0.194605927,1.002590847,Balanced Contributor,,,1.157894736842105,0.445945945945946,0.3671999999999999,1.1,0,29.66
Madelynn Muniz,Madelynn Muniz,G,1,2025,521,21.7,21.7,1.9,5.9,0.316,1.6,4.7,0.336,0.3,1.2,0.243,0.4489999999999999,0.1,0.1,0.5,0.3,1.3,1.6,0.4,0.4,0.1,0.7,1.3,5.4,10.8,0.421,0.401,0.164,4.7,6.8,0.057,0.196,3.8,0.4,22.7,0.204,-0.2,0.6,0.4,0.034,-3.9,-1.8,-5.7,7.0,23.0,0.0,0.0,0.0,Big West Conference,Cal State Fullerton,cal-state-fullerton,0.4339,0.4368,,,1,-0.259752107,1.825833363,Balanced Contributor,-0.333574637781981,762.0,0.5000000000000001,0.7833333333333333,0.0728999999999999,1.1,0,30.72
Lalani Ellis,Lalani Ellis,G,1,2025,785,21.7,21.7,2.9999999999999996,6.9,0.434,0.3,0.7,0.467,2.7,6.2,0.4309999999999999,0.459,1.2999999999999998,2.2,0.609,1.4,1.9,3.3,2.5999999999999996,0.9,0.1,3.2,2.5,7.7,12.8,0.432,0.398,0.088,2.3,10.5,0.065,0.291,5.6,2.1,30.3,0.1689999999999999,-0.1,1.7000000000000002,1.6,0.083,-2.9999999999999996,4.0,1.0,18.0,11.999999999999998,0.0,0.0,0.0,Ohio Valley Conference,Eastern Illinois,eastern-illinois,0.4729,0.468,,,2,1.754238782,1.095032899,Primary Creator,-0.868385433372227,1002.0,0.7878787878787877,0.0999999999999999,1.1637,2.7,0,40.91
Gabby Anderson,Gabby Anderson,G,1,2025,416,21.7,21.7,1.7,5.0,0.3329999999999999,0.4,1.6,0.261,1.2,3.4,0.367,0.375,0.1,0.2,0.667,1.9,2.6,4.5,1.0,1.7,0.1,0.8,2.1,3.9,13.4,0.497,0.566,0.2379999999999999,3.5,9.0,0.061,0.118,1.0,3.8,17.1,0.1969999999999999,0.8,0.8,1.6,0.154,0.0,1.3,1.3,24.000000000000004,5.0,0.0,0.0,0.0,Ivy League,Harvard,harvard,0.5175,0.5096,,,1,0.03498409,0.631668567,Balanced Contributor,1.0038644764383569,172.0,1.1111111111111112,0.3137254901960785,0.4403999999999999,2.6,0,44.83
Macie Taylor,Macie Taylor,G,1,2025,742,21.7,21.7,2.6,7.0,0.373,0.8,2.5,0.329,1.7999999999999998,4.6,0.397,0.431,1.7,2.1,0.833,0.4,2.2,2.7,1.7999999999999998,1.1,0.0,2.0,1.7999999999999998,7.8,31.500000000000004,0.586,0.052,0.39,18.7,27.9,0.231,0.052,1.5,7.3,14.7,0.245,3.1,0.8999999999999999,4.0,0.217,4.7,-1.2,3.5,10.0,22.0,0.0,0.0,0.0,Horizon League,Wright State,wright-state,0.4419,0.4454,,,2,1.198458721,-0.765825044,Primary Creator,0.6721497430032428,284.0,0.857142857142857,0.352112676056338,0.7146,2.0,0,63.18
Treasure Thompson,Treasure Thompson,F,1,2025,645,21.7,21.7,3.1,7.0,0.443,0.0999999999999999,0.7,0.0999999999999999,2.9999999999999996,6.3,0.4789999999999999,0.448,1.3,2.2,0.597,1.9,2.7,4.6,1.1,0.7,1.7,2.2,1.9,7.6,11.699999999999998,0.39,0.516,0.216,5.5,9.4,0.074,0.145,3.1,1.2,16.7,0.192,0.1999999999999999,0.7999999999999999,1.1,0.067,-1.8,-0.7,-2.4,17.0,16.0,0.0,0.0,0.0,Southwest Athletic Conference,Texas Southern,texas-southern,0.4341,0.4295,,,3,1.151622929,-2.822844169,Interior Defender,-0.7059193451868605,429.0,0.4782608695652173,0.0985915492957746,1.4369999999999996,3.1999999999999997,0,34.41
Carmen Williams,Carmen Williams,G,1,2025,608,21.7,21.7,1.5,4.9,0.299,0.3999999999999999,1.9,0.222,1.0,3.0,0.349,0.343,0.9,1.1,0.7999999999999999,0.7,2.1,2.9,1.0,0.9,0.0999999999999999,1.1,1.1,4.2,8.2,0.39,0.3939999999999999,0.219,3.4000000000000004,11.8,0.073,0.099,2.3,0.3999999999999999,17.5,0.146,0.0,0.7,0.6,0.04,-3.9,-1.5,-5.4,9.0,20.0,0.0,0.0,0.0,Metro Atlantic Athletic Conference,Sacred Heart,sacred-heart,0.4952,0.4813,,,0,-0.560530702,0.363542657,Support Player,-0.4224672071144366,101.0,0.8333333333333333,0.38,0.349,1.7,0,29.34
Nevaeh Parkinson,Nevaeh Parkinson,F-C,1,2025,875,21.7,21.7,4.2,7.9,0.53,0.1,0.2,0.5,4.1,7.7,0.53,0.536,1.3,2.1,0.613,2.2,4.2,6.4,0.4,0.2,0.4,1.4,2.7,9.7,12.3,0.501,0.34,0.135,1.3,8.5,0.049,0.138,1.7,0.2,15.6,0.176,1.2,-0.4,0.9,0.04,0.9,-0.5,0.4,10.0,22.0,0.0,0.0,0.0,Big 12 Conference,Arizona State,arizona-state,0.5745,0.5561,,,1,-0.053321013,0.842784086,Balanced Contributor,0.187698494750476,515.0,0.2666666666666666,0.025,2.173,0.2,0,40.39
Jenna Villa,Jenna Villa,G,1,2025,538,21.7,21.7,1.8000000000000005,5.3,0.341,1.3,3.7,0.338,0.5,1.6,0.345,0.459,0.8,0.9000000000000001,0.818,0.7,1.8000000000000005,2.5,1.4,0.5,0.3,0.9000000000000001,1.6,5.6,10.8,0.505,0.673,0.164,5.0,11.9,0.086,0.066,1.2,0.3,17.0,0.193,0.7,0.4,1.1,0.08,-1.0,-1.1,-2.1,21.0,13.999999999999998,0.0,0.0,0.0,West Coast Conference,Washington State,washington-state,0.5339,0.5184,,,1,-0.198039103,0.849765226,Balanced Contributor,0.1069652414846953,555.0,1.3999999999999997,0.6851851851851852,0.1725,1.2000000000000002,0,38.89
