player,player_href,season_year,pos,g,mpg,pts_per_g,ast_per_g,trb_per_g,blk_per_g,stl_per_g,three_rate,inside_score,fta_per_g,fg3_pct,treb_pct,oreb_pct,blk_per_g,usg_pct,ast_pct,tov_per_g,pos_encoded,cluster,archetype,pca1,pca2
Nia Coffey,/wnba/players/c/coffeni01w.html,2019,F,28,13.9,5.0,0.4,2.8,0.5,0.5,0.42,0.2781,1.5,0.379,0.106,0.062,0.5,0.203,0.06,0.8,0.5,1,3-and-D Wing,-0.2712991678290217,-1.5696218584636408
Napheesa Collier,/wnba/players/c/collina01w.html,2019,F,34,33.3,13.1,2.6,6.6,0.9,1.9,0.24,2.124,3.0,0.361,0.121,0.066,0.9,0.179,0.126,1.9,0.5,0,Post Scorer,1.6540726310220633,0.1232844294694067
Sydney Colson,/wnba/players/c/colsosy01w.html,2019,G,33,11.5,3.3,1.8,0.7,0.1,0.9,0.24,0.3504,1.0,0.45,0.033,0.006,0.1,0.14300000000000002,0.24100000000000002,0.8,0.0,3,Floor General,-2.7269305620457835,-0.13535830877647984
Kahleah Copper,/wnba/players/c/coppeka01w.html,2019,G-F,34,14.8,6.7,0.9,1.9,0.1,0.4,0.2333,0.7847,2.1,0.306,0.071,0.027999999999999997,0.1,0.24100000000000002,0.096,1.3,0.25,1,3-and-D Wing,-0.6319422972558599,0.0924431314463129
Sophie Cunningham,/wnba/players/c/cunniso01w.html,2019,G,32,12.2,3.1,0.8,1.4,0.1,0.3,0.56,0.1696,1.1,0.304,0.067,0.018000000000000002,0.1,0.139,0.106,0.6,0.0,3,Floor General,-2.6186948071297147,-1.3172688841808167
Damiris Dantas,/wnba/players/d/dantada01w.html,2019,C-F,26,25.7,9.2,3.2,4.5,0.6,0.7,0.519,0.855,1.0,0.393,0.107,0.052000000000000005,0.6,0.177,0.20199999999999999,1.7,0.75,1,3-and-D Wing,-0.2084986584387907,-0.5105771421293814
Kaela Davis,/wnba/players/d/daviska01w.html,2019,F,33,19.2,6.0,2.1,2.2,0.2,0.5,0.2143,0.5994,1.0,0.314,0.068,0.027999999999999997,0.2,0.23199999999999998,0.20600000000000002,2.2,0.5,1,3-and-D Wing,-0.58854036549053,0.6322430082910713
Elena Delle Donne,/wnba/players/d/delleel01w.html,2019,F-G,31,29.1,19.5,2.2,8.2,1.3,0.6,0.2826,2.9646,3.8,0.43,0.172,0.066,1.3,0.257,0.132,1.0,0.25,5,Combo Guard,2.648931372132828,0.7990852667921668
Diamond DeShields,/wnba/players/d/deshidi01w.html,2019,G,34,30.2,16.2,2.4,5.5,0.4,1.3,0.3262,1.848,4.1,0.316,0.102,0.034,0.4,0.261,0.134,2.2,0.0,3,Floor General,0.5516201821871604,2.0189925556015567
Stefanie Dolson,/wnba/players/d/dolsost01w.html,2019,C,34,25.0,9.3,2.2,5.6,1.0,0.6,0.3478,1.6389,1.4,0.361,0.124,0.057,1.0,0.16399999999999998,0.138,1.9,1.0,2,Stretch Big,1.409621367727132,-0.873512591290977
