player,player_href,season_year,pos,g,mpg,pts_per_g,ast_per_g,trb_per_g,blk_per_g,stl_per_g,three_rate,inside_score,fta_per_g,fg3_pct,treb_pct,oreb_pct,blk_per_g,usg_pct,ast_pct,tov_per_g,pos_encoded,cluster,archetype,pca1,pca2
Maria Kliundikova,/wnba/players/v/vadeema01w.html,2019,F,15,12.0,7.8,0.7,3.9,0.2,1.0,0.1594,1.6213,0.9,0.313,0.183,0.114,0.2,0.316,0.11800000000000001,1.2,0.5,2,Stretch Big,2.185424339091269,-0.5168938644570488
Courtney Vandersloot,/wnba/players/v/vandeco01w.html,2019,G,33,30.0,11.2,9.1,4.3,0.5,1.4,0.3516,1.7344,2.4,0.29,0.081,0.024,0.5,0.18899999999999997,0.47,2.9,0.0,3,Floor General,-0.6983436139483329,3.2356656634916576
Shatori Walker-Kimbrough,/wnba/players/w/walkesh01w.html,2019,G,34,17.1,6.7,1.2,1.6,0.2,0.8,0.4038,0.8224,1.7,0.31,0.055999999999999994,0.036000000000000004,0.2,0.185,0.106,1.0,0.0,3,Floor General,-1.5218928893934756,-0.4044802959387298
Erica Wheeler,/wnba/players/w/wheeler01w.html,2019,G,34,25.0,10.1,5.0,3.0,0.1,1.2,0.4205,1.0511,1.4,0.384,0.069,0.006999999999999999,0.1,0.221,0.353,2.9,0.0,3,Floor General,-1.7036005468821307,2.7112245103899824
Sami Whitcomb,/wnba/players/w/whitcsa01w.html,2019,G,33,20.4,7.2,2.4,1.7,0.1,1.1,0.8235,0.285,0.3,0.342,0.052000000000000005,0.028999999999999998,0.1,0.19,0.20199999999999999,1.6,0.0,3,Floor General,-2.982834435494274,0.19731903384605057
Sydney Wiese,/wnba/players/w/wiesesy01w.html,2019,G,32,20.6,4.8,1.8,1.3,0.3,0.5,0.6444,0.294,0.3,0.366,0.036000000000000004,0.009000000000000001,0.3,0.121,0.129,1.0,0.0,3,Floor General,-3.1739181555397833,-1.022933452588319
Courtney Williams,/wnba/players/w/willico01w.html,2019,G,34,29.1,13.2,3.8,5.6,0.4,1.4,0.0794,2.165,2.2,0.457,0.11,0.053,0.4,0.228,0.23199999999999998,1.6,0.0,3,Floor General,0.516622795924806,1.3291170369286005
Elizabeth Williams,/wnba/players/w/williel01w.html,2019,C-F,32,28.4,9.3,1.2,6.5,1.7,0.8,0.0,1.5015,3.5,,0.121,0.114,1.7,0.158,0.078,1.3,0.75,0,Post Scorer,3.2531037411159294,-1.4593086905331718
Gabby Williams,/wnba/players/w/williga01w.html,2019,F,33,16.0,5.6,2.1,2.2,0.2,0.7,0.2182,1.0206,1.2,0.171,0.076,0.032,0.2,0.21,0.20199999999999999,1.7,0.5,1,3-and-D Wing,-0.31212102937547137,0.07342047932404093
Riquna Williams,/wnba/players/w/williri02w.html,2019,G,23,25.8,12.3,1.6,2.6,0.2,1.1,0.5714,0.6375,2.2,0.391,0.057999999999999996,0.025,0.2,0.21899999999999997,0.10400000000000001,1.2,0.0,3,Floor General,-1.8107951941846583,0.29338875002480086
A'ja Wilson,/wnba/players/w/wilsoa01w.html,2019,C,26,28.5,16.5,1.8,6.4,1.7,0.5,0.0,2.928,5.5,0.0,0.12300000000000001,0.064,1.7,0.261,0.12,2.2,1.0,0,Post Scorer,4.7794400391131,1.0869059069083917
Tanisha Wright,/wnba/players/w/wrighta01w.html,2019,G,31,19.8,4.7,4.1,2.8,0.3,1.0,0.2857,0.5655,1.0,0.368,0.08,0.039,0.3,0.14300000000000002,0.326,1.8,0.0,3,Floor General,-1.593618487995039,0.5540195278702906
Jackie Young,/wnba/players/y/youngja01w.html,2019,G,34,22.6,6.6,4.5,3.3,0.4,0.8,0.1884,0.5814,2.1,0.318,0.079,0.034,0.4,0.18,0.309,1.6,0.0,3,Floor General,-1.0162435492902997,0.9253675915573307
Tamera Young,/wnba/players/y/youngta01w.html,2019,F,34,18.5,5.3,2.0,3.6,0.1,0.7,0.0943,0.7353,1.8,0.313,0.10800000000000001,0.062,0.1,0.174,0.168,1.4,0.5,1,3-and-D Wing,0.16527951505619443,-0.7603105828481803
Amanda Zahui B.,/wnba/players/z/zahuiam01w.html,2019,C,24,23.3,8.6,0.9,6.3,1.4,1.1,0.4028,1.4175,1.1,0.319,0.155,0.053,1.4,0.17,0.066,1.3,1.0,2,Stretch Big,1.7774374972676268,-1.8902464797036498
Shavonte Zellous,/wnba/players/z/zellosh01w.html,2019,G,31,13.9,4.0,1.5,1.5,0.2,0.3,0.2703,0.5424,1.3,0.188,0.068,0.016,0.2,0.17800000000000002,0.175,1.1,0.0,3,Floor General,-1.5764770993594257,-0.2916749731547005
Theresa Plaisance,/wnba/players/p/plaisth01w.html,2019,F,31,14.3,5.0,1.1,3.6,0.6,0.3,0.5106,0.3573,0.8,0.342,0.151,0.061,0.6,0.195,0.146,1.0,0.5,2,Stretch Big,-0.12794957491891804,-1.4006011187764011
Natalie Achonwa,/wnba/players/a/achonna01w.html,2020,F,18,20.2,7.8,1.7,5.5,0.6,0.5,0.0937,1.7376,1.8,0.0,0.16399999999999998,0.086,0.6,0.19699999999999998,0.147,1.8,0.5,0,Post Scorer,2.2790633118170533,-0.8088646914232942
Bella Alarie,/wnba/players/a/alaribe01w.html,2020,C-F,22,14.0,2.7,0.5,2.9,0.8,0.6,0.2,0.434,0.5,0.077,0.11900000000000001,0.08199999999999999,0.8,0.11900000000000001,0.055,0.5,0.75,2,Stretch Big,0.7558291338676499,-3.5342392601096666
Julie Allemand,/wnba/players/a/allemju01w.html,2020,G,22,32.5,8.5,5.8,4.5,0.4,1.1,0.6885,0.324,1.4,0.478,0.084,0.013000000000000001,0.4,0.126,0.275,2.6,0.0,3,Floor General,-2.4386920935622363,1.0829079810386355
Lindsay Allen,/wnba/players/a/allenli01w.html,2020,G,21,13.5,3.3,2.4,1.1,0.0,0.3,0.2581,0.449,0.5,0.353,0.046,0.026000000000000002,0.0,0.134,0.25,0.8,0.0,3,Floor General,-2.5040169883702874,-0.5518199028241925
Kristine Anigwe,/wnba/players/a/anigwkr01w.html,2020,F-C,17,11.6,4.6,0.2,2.6,0.4,0.6,0.0,1.1476,1.5,,0.141,0.113,0.4,0.187,0.032,0.9,0.75,2,Stretch Big,1.95425301812949,-2.3618088798048578
Ariel Atkins,/wnba/players/a/atkinar01w.html,2020,G,22,31.0,14.8,2.4,2.9,0.2,1.8,0.4298,1.374,3.2,0.411,0.057,0.031,0.2,0.22,0.136,1.9,0.0,3,Floor General,-0.9265648868877838,1.3903590427306938
Seimone Augustus,/wnba/players/a/augusse01w.html,2020,G-F,21,15.8,5.9,1.2,1.8,0.1,0.6,0.1923,0.954,0.3,0.545,0.069,0.011000000000000001,0.1,0.16699999999999998,0.11900000000000001,0.4,0.25,2,Stretch Big,-1.77525315034007,-1.1251434356523502
Rachel Banham,/wnba/players/b/banhara01w.html,2020,G,20,17.0,6.9,2.4,1.3,0.1,0.5,0.5192,0.5412,1.0,0.472,0.045,0.006999999999999999,0.1,0.17600000000000002,0.222,1.0,0.0,3,Floor General,-2.8488130011469806,0.2905634698937261
Monique Billings,/wnba/players/b/billimo01w.html,2020,F,22,27.1,8.5,1.2,8.5,0.8,1.1,0.0,1.24,3.0,,0.182,0.11,0.8,0.177,0.068,1.9,0.5,0,Post Scorer,2.802407644842804,-1.099436062920056
Sue Bird,/wnba/players/b/birdsu01w.html,2020,G,11,23.4,9.8,5.2,1.7,0.2,0.6,0.6,0.8464,0.4,0.469,0.043,0.005,0.2,0.179,0.348,1.6,0.0,3,Floor General,-2.9896969667265045,1.3419680138069203
DeWanna Bonner,/wnba/players/b/bonnede01w.html,2020,G-F,22,33.3,19.7,3.0,7.8,0.5,1.7,0.3062,2.728,5.6,0.252,0.138,0.052000000000000005,0.5,0.27399999999999997,0.166,2.4,0.25,5,Combo Guard,2.2075502062952843,2.589617933761923
Lexie Brown,/wnba/players/b/brownle02w.html,2020,G,17,22.0,6.4,2.4,1.9,0.0,1.8,0.4769,0.5698,1.4,0.269,0.054000000000000006,0.01,0.0,0.174,0.165,1.4,0.0,3,Floor General,-2.291056501597384,0.09770733979512651
Kennedy Burke,/wnba/players/b/burkeke01w.html,2020,G-F,22,18.3,7.2,1.1,1.8,0.4,0.6,0.3793,1.0108,1.9,0.313,0.057999999999999996,0.057,0.4,0.19,0.10400000000000001,1.2,0.25,5,Combo Guard,-0.6298545984875527,-0.5003625729118955
Jordin Canada,/wnba/players/c/canadjo01w.html,2020,G,20,24.2,7.9,5.5,2.3,0.0,1.5,0.0909,1.274,2.9,0.091,0.055,0.025,0.0,0.183,0.332,2.0,0.0,3,Floor General,-0.7729390591023791,1.705481701803381
Bridget Carleton,/wnba/players/c/carlebr01w.html,2020,F,22,25.8,6.6,2.5,3.6,0.0,0.7,0.4565,0.8565,1.3,0.457,0.085,0.047,0.0,0.111,0.142,1.2,0.5,1,3-and-D Wing,-1.374965563807302,-1.249743467315163
Chennedy Carter,/wnba/players/c/cartech01w.html,2020,G,16,25.4,17.4,3.4,2.3,0.3,0.9,0.1429,2.891,4.2,0.375,0.051,0.022000000000000002,0.3,0.319,0.263,2.7,0.0,3,Floor General,0.7180183130762017,4.187039602319267
Kaila Charles,/wnba/players/c/charlka01w.html,2020,G-F,21,17.9,5.4,0.9,2.6,0.3,0.8,0.3043,0.6062,1.5,0.367,0.084,0.069,0.3,0.151,0.08,0.9,0.25,1,3-and-D Wing,-0.673147025050918,-1.547436301949121
Layshia Clarendon,/wnba/players/c/clarela01w.html,2020,G,19,26.1,11.5,3.9,2.5,0.0,0.9,0.2738,1.5903,3.3,0.341,0.053,0.013000000000000001,0.0,0.223,0.321,3.4,0.0,3,Floor General,-0.8239181053986597,3.531829420593877
Alysha Clark,/wnba/players/c/clarkal01w.html,2020,F,22,28.8,10.0,2.7,4.2,0.5,1.5,0.4478,1.2348,1.1,0.522,0.086,0.037000000000000005,0.5,0.125,0.14,0.9,0.5,2,Stretch Big,-1.0071416745275898,-1.1749344908766617
Nia Coffey,/wnba/players/c/coffeni01w.html,2020,F,15,15.3,2.7,0.8,2.5,0.3,0.3,0.56,0.3174,0.4,0.333,0.09300000000000001,0.026000000000000002,0.3,0.092,0.077,0.5,0.5,1,3-and-D Wing,-1.8692980748055028,-2.639606259720404
Napheesa Collier,/wnba/players/c/collina01w.html,2020,F,22,34.2,16.1,3.3,9.0,1.3,1.8,0.1864,2.915,3.5,0.408,0.162,0.099,1.3,0.21100000000000002,0.166,2.7,0.5,0,Post Scorer,3.4269235638765148,1.1562332689741548
Te'a Cooper,/wnba/players/c/coopete01w.html,2020,G,20,17.3,7.0,2.0,1.0,0.0,0.7,0.2807,0.988,1.7,0.344,0.036000000000000004,0.006999999999999999,0.0,0.209,0.179,1.5,0.0,3,Floor General,-1.8489002039111606,0.8721436466599302
Kahleah Copper,/wnba/players/c/coppeka01w.html,2020,G-F,22,31.3,14.9,2.1,5.5,0.2,1.0,0.2314,2.705,2.6,0.344,0.106,0.039,0.2,0.22399999999999998,0.106,2.5,0.25,5,Combo Guard,0.9178654547135628,1.3619795847266216
Lauren Cox,/wnba/players/c/coxla01w.html,2020,F,14,13.1,3.6,1.4,3.3,0.3,0.4,0.129,0.4455,1.1,0.5,0.151,0.066,0.3,0.147,0.163,0.8,0.5,2,Stretch Big,0.05364541512134457,-1.7116687678812554
Sophie Cunningham,/wnba/players/c/cunniso01w.html,2020,G,21,18.9,5.0,0.8,1.0,0.1,0.5,0.5581,0.6325,1.2,0.235,0.032,0.027000000000000003,0.1,0.132,0.061,0.7,0.0,3,Floor General,-2.501161101477009,-1.38219732340745
Crystal Dangerfield,/wnba/players/d/dangecr01w.html,2020,G,21,30.0,16.2,3.6,2.0,0.0,0.9,0.392,2.4037,3.0,0.333,0.04,0.01,0.0,0.24600000000000002,0.21,2.6,0.0,3,Floor General,-0.8141049990456097,2.8808781981657687
Damiris Dantas,/wnba/players/d/dantada01w.html,2020,C-F,22,26.6,12.9,2.6,6.1,0.2,1.1,0.41,1.4065,2.5,0.433,0.14,0.077,0.2,0.217,0.168,1.8,0.75,2,Stretch Big,0.9427116083724125,0.056779014530220585
Diamond DeShields,/wnba/players/d/deshidi01w.html,2020,G,13,17.2,6.8,1.5,1.8,0.1,0.9,0.2187,1.27,1.4,0.167,0.062,0.017,0.1,0.24100000000000002,0.132,2.3,0.0,3,Floor General,-0.7086858724072985,1.0778633706178016
Blake Dietrick,/wnba/players/d/dietrbl01w.html,2020,G,22,21.0,5.9,3.4,1.6,0.1,0.8,0.5532,0.5,0.4,0.448,0.045,0.02,0.1,0.139,0.242,1.8,0.0,3,Floor General,-2.875519581815241,0.31489501165072
Skylar Diggins,/wnba/players/d/diggisk01w.html,2020,G,22,30.7,17.7,4.2,3.3,0.5,0.9,0.4344,1.9721,4.5,0.397,0.062,0.019,0.5,0.252,0.245,3.2,0.0,3,Floor General,-0.04462824992106534,3.6960101094471245
Stefanie Dolson,/wnba/players/d/dolsost01w.html,2020,C,15,18.2,6.3,1.7,3.5,0.9,0.4,0.4468,0.8685,1.3,0.375,0.11599999999999999,0.051,0.9,0.153,0.128,1.0,1.0,2,Stretch Big,0.44380284452381874,-1.773887932677258
Candice Dupree,/wnba/players/d/dupreca01w.html,2020,F,22,30.2,12.5,2.5,5.7,0.4,0.7,0.0702,2.4735,2.2,0.167,0.113,0.049,0.4,0.2,0.147,1.3,0.5,5,Combo Guard,1.3959283274522318,-0.1472078188691991
Allisha Gray,/wnba/players/g/grayal01w.html,2020,G,20,26.2,13.1,1.3,4.2,0.3,1.1,0.3673,1.7424,3.3,0.352,0.094,0.057,0.3,0.21100000000000002,0.08900000000000001,1.1,0.0,3,Floor General,-0.005641161311460582,0.2719171872780729
Chelsea Gray,/wnba/players/g/graych01w.html,2020,G,22,30.9,14.0,5.3,3.7,0.1,1.5,0.216,2.2513,2.2,0.305,0.07400000000000001,0.027000000000000003,0.1,0.24100000000000002,0.27699999999999997,2.7,0.0,3,Floor General,-0.19765963572371187,2.660262010883564
Brittney Griner,/wnba/players/g/grinebr01w.html,2020,C,12,31.8,17.7,3.0,7.5,1.8,0.3,0.0068,3.65,3.9,0.0,0.135,0.055999999999999994,1.8,0.263,0.18,2.5,1.0,4,Interior Big,4.849391133279803,1.4115715635107626
Dearica Hamby,/wnba/players/h/hambyde01w.html,2020,F,22,28.3,13.0,2.7,7.1,0.2,1.7,0.1828,2.3268,3.0,0.474,0.14400000000000002,0.054000000000000006,0.2,0.196,0.15,2.0,0.5,5,Combo Guard,1.2936461190032138,0.6751756578554319
Isabelle Harrison,/wnba/players/h/harriis01w.html,2020,F,13,19.8,6.4,1.5,4.6,0.4,0.7,0.0345,1.2116,1.5,0.0,0.136,0.081,0.4,0.17800000000000002,0.12300000000000001,1.4,0.5,4,Interior Big,1.5140236260288507,-1.4816104059546353
Mikiah Herbert Harrigan,/wnba/players/h/harrimi01w.html,2020,F,21,11.1,3.8,0.3,2.3,0.4,0.4,0.4103,0.2616,0.3,0.424,0.126,0.073,0.4,0.192,0.047,0.7,0.5,2,Stretch Big,-0.3449160696299797,-2.2429853349575377
Tyasha Harris,/wnba/players/h/harrity01w.html,2020,G,21,19.6,6.8,2.7,1.2,0.1,0.9,0.45,0.8619,1.0,0.339,0.037000000000000005,0.0,0.1,0.168,0.22899999999999998,0.9,0.0,3,Floor General,-2.6787085401271673,0.22025187306625604
Bria Hartley,/wnba/players/h/hartlbr01w.html,2020,G,13,24.8,14.6,4.5,2.9,0.0,1.2,0.4132,1.4272,3.2,0.385,0.068,0.018000000000000002,0.0,0.28,0.33,2.1,0.0,3,Floor General,-1.0740003143712518,3.12491050980348
Tianna Hawkins,/wnba/players/h/hawkiti01w.html,2020,F,17,19.4,8.5,1.0,3.5,0.4,0.8,0.4474,1.0353,1.5,0.298,0.111,0.043,0.4,0.228,0.09,1.2,0.5,2,Stretch Big,-0.04087284793600913,-0.6366652298742022
Ruthy Hebard,/wnba/players/h/hebarru01w.html,2020,F,22,14.5,5.7,0.3,3.9,0.4,0.5,0.0,1.7732,0.5,,0.163,0.07200000000000001,0.4,0.147,0.033,0.7,0.5,5,Combo Guard,1.316541636575089,-2.5050517111126656
Natisha Hiedeman,/wnba/players/h/hiedena01w.html,2020,G,22,18.5,6.1,1.9,1.9,0.0,0.4,0.5,0.349,1.4,0.359,0.06,0.022000000000000002,0.0,0.177,0.16,1.1,0.0,3,Floor General,-2.36525733480876,-0.18362503993557575
Myisha Hines-Allen,/wnba/players/h/hinesmy01w.html,2020,F,22,30.0,17.0,2.6,8.9,0.2,1.4,0.209,2.9792,2.6,0.426,0.18100000000000002,0.062,0.2,0.259,0.171,2.2,0.5,0,Post Scorer,2.1738667400672185,1.3330106517996616
Bria Holmes,/wnba/players/h/holmebr01w.html,2020,G,18,16.2,4.9,1.1,1.8,0.3,0.7,0.3148,0.5152,0.7,0.333,0.067,0.05,0.3,0.183,0.111,1.0,0.0,3,Floor General,-1.3738096395866728,-0.917329028924574
Joyner Holmes,/wnba/players/h/holmejo02w.html,2020,F,19,10.0,2.9,0.7,2.7,0.1,0.1,0.3947,0.432,0.6,0.107,0.14800000000000002,0.086,0.1,0.209,0.13699999999999998,0.7,0.5,2,Stretch Big,0.151712415100103,-1.9575900640513728
Natasha Howard,/wnba/players/h/howarna01w.html,2020,F,22,21.0,9.5,1.0,7.1,0.6,1.7,0.12,2.0016,1.6,0.35,0.196,0.138,0.6,0.218,0.078,2.1,0.5,0,Post Scorer,3.0893110610110504,-0.8942343435829547
Briann January,/wnba/players/j/januabr01w.html,2020,G,13,23.3,5.0,3.4,1.2,0.2,0.6,0.4138,0.2,0.9,0.355,0.031,0.015,0.2,0.138,0.218,1.2,0.0,3,Floor General,-2.76428033800998,-0.22330702328383514
Glory Johnson,/wnba/players/j/johnsgl01w.html,2020,F,18,15.4,4.7,0.6,3.7,0.4,0.8,0.5,0.5368,1.3,0.262,0.14,0.028999999999999998,0.4,0.168,0.06,0.7,0.5,2,Stretch Big,-0.5223826576329126,-1.8947019815554305
Shenise Johnson,/wnba/players/j/johnssh02w.html,2020,G,17,12.5,5.1,1.2,1.9,0.1,0.9,0.2083,0.4394,1.6,0.353,0.095,0.057999999999999996,0.1,0.242,0.157,1.2,0.0,3,Floor General,-0.6780495993011595,0.048727783583956664
Brionna Jones,/wnba/players/j/jonesbr01w.html,2020,F,21,26.1,11.2,1.0,5.6,0.7,1.7,0.0,2.7692,2.6,1.0,0.126,0.12,0.7,0.17600000000000002,0.068,1.6,0.5,2,Stretch Big,2.1548792385150812,-0.13284090020597902
Jazmine Jones,/wnba/players/j/jonesja02w.html,2020,G,20,21.4,10.8,2.3,4.1,0.5,1.4,0.2674,1.1583,4.0,0.333,0.10400000000000001,0.046,0.5,0.271,0.23199999999999998,2.9,0.0,3,Floor General,0.6089373598966046,2.745924657913093
Paris Kea,/wnba/players/k/keapa01w.html,2020,G,11,15.0,6.9,1.5,2.0,0.3,0.6,0.4545,0.525,0.7,0.394,0.073,0.033,0.3,0.255,0.218,1.7,0.0,3,Floor General,-1.5487181095094276,0.9448492380878859
Betnijah Laney-Hamilton,/wnba/players/l/laneybe01w.html,2020,G-F,22,33.5,17.2,4.0,4.9,0.1,1.6,0.2519,2.5857,3.4,0.405,0.084,0.037000000000000005,0.1,0.235,0.20199999999999999,3.0,0.25,5,Combo Guard,0.6171779010938209,2.6489605458197607
Kiara Leslie,/wnba/players/l/lesliki01w.html,2020,G,19,21.8,5.5,1.1,3.0,0.4,0.5,0.4386,0.3784,0.7,0.362,0.084,0.043,0.4,0.14800000000000002,0.075,0.9,0.0,3,Floor General,-1.6217337569204122,-1.4814054542395079
Jewell Loyd,/wnba/players/l/loydje01w.html,2020,G,22,27.9,15.5,3.2,2.4,0.3,1.5,0.3913,1.5741,4.0,0.39,0.049,0.027999999999999997,0.3,0.243,0.18600000000000003,1.9,0.0,3,Floor General,-0.61906955534539,2.1544054066093543
Marina Mabrey,/wnba/players/m/mabrema01w.html,2020,G,19,21.3,10.0,2.3,3.1,0.1,1.3,0.5783,0.7168,1.3,0.418,0.085,0.03,0.1,0.22,0.19,1.6,0.0,3,Floor General,-1.8016111755577977,0.6969304421035012
Ezi Magbegor,/wnba/players/m/magbeez01w.html,2020,F-C,22,13.3,6.5,0.3,2.5,0.7,0.5,0.02,1.61,1.2,0.333,0.10800000000000001,0.105,0.7,0.19899999999999998,0.040999999999999995,0.4,0.75,2,Stretch Big,1.8282861578612029,-2.316150252458148
Kayla McBride,/wnba/players/m/mcbrika01w.html,2020,G,22,26.7,12.5,2.4,2.3,0.1,1.2,0.3438,1.404,3.5,0.342,0.05,0.019,0.1,0.207,0.133,1.4,0.0,3,Floor General,-1.0681133647742969,1.0474764369205445
Angel McCoughtry,/wnba/players/m/mccouan01w.html,2020,F-G,22,20.0,14.4,2.5,5.1,0.3,1.3,0.1456,2.4196,3.5,0.471,0.145,0.102,0.3,0.297,0.222,1.7,0.25,2,Stretch Big,2.081758543413731,1.7457718034760605
Teaira McCowan,/wnba/players/m/mccowte01w.html,2020,C,22,21.0,10.9,0.6,7.3,1.0,0.3,0.0132,2.2345,3.6,0.0,0.21,0.18,1.0,0.23800000000000002,0.055999999999999994,2.0,1.0,4,Interior Big,5.614374568693321,-1.4332516288255066
Emma Meesseman,/wnba/players/m/meessem01w.html,2020,F,20,31.7,13.0,4.5,5.3,0.8,1.2,0.1917,2.3616,1.8,0.289,0.102,0.061,0.8,0.21600000000000003,0.253,2.0,0.5,5,Combo Guard,1.3438360462838679,0.9522341678981912
Kelsey Mitchell,/wnba/players/m/mitchke01w.html,2020,G,22,32.1,17.9,2.8,2.2,0.1,0.6,0.4643,1.85,3.3,0.389,0.040999999999999995,0.01,0.1,0.247,0.162,2.5,0.0,3,Floor General,-1.0241377082906427,2.543953038374252
Leilani Mitchell,/wnba/players/m/mitchle01w.html,2020,G,22,30.6,9.5,5.4,2.8,0.0,0.8,0.5309,1.048,1.8,0.305,0.055999999999999994,0.019,0.0,0.161,0.28300000000000003,1.7,0.0,3,Floor General,-2.1986748925122677,1.0440058894635076
Tiffany Mitchell,/wnba/players/m/mitchti01w.html,2020,G,19,26.4,12.7,2.6,3.4,0.1,0.6,0.3363,1.212,4.3,0.233,0.078,0.036000000000000004,0.1,0.26,0.166,2.4,0.0,3,Floor General,-0.06385106430587562,2.1795005374485306
Kaleena Mosqueda-Lewis,/wnba/players/m/mosquka01w.html,2020,F,16,10.3,3.4,0.3,1.3,0.1,0.2,0.725,0.1648,0.4,0.255,0.075,0.006999999999999999,0.1,0.198,0.039,0.4,0.5,1,3-and-D Wing,-2.245189201063188,-1.8432831742437719
Astou Ndour-Fall,/wnba/players/n/ndouras01w.html,2020,C-F,13,11.6,3.5,0.5,2.9,0.5,0.2,0.4318,0.4818,0.0,0.24,0.147,0.094,0.5,0.187,0.067,0.5,0.75,2,Stretch Big,0.5046569607193233,-2.9438795456193176
Kia Nurse,/wnba/players/n/nurseki01w.html,2020,G,21,27.5,12.2,2.3,2.9,0.2,0.5,0.521,0.5598,4.9,0.238,0.057,0.021,0.2,0.259,0.16699999999999998,2.2,0.0,3,Floor General,-0.8847054907030822,2.234721544762374
Leaonna Odom,/wnba/players/o/odomle01w.html,2020,F,22,20.6,5.5,0.7,2.3,0.4,0.7,0.2,1.102,1.0,0.25,0.061,0.08199999999999999,0.4,0.12,0.07,0.7,0.5,2,Stretch Big,-0.13919904620815812,-2.351185725422776
Arike Ogunbowale,/wnba/players/o/ogunbar01w.html,2020,G,22,34.0,22.8,3.5,2.8,0.0,1.6,0.3421,2.5821,5.7,0.336,0.048,0.015,0.0,0.312,0.205,2.1,0.0,3,Floor General,0.13677455758240814,3.8333274473266434
Nneka Ogwumike,/wnba/players/o/ogwumnn01w.html,2020,F,18,26.4,13.3,1.7,4.8,0.2,1.1,0.1075,2.7696,2.7,0.5,0.113,0.055,0.2,0.209,0.109,1.6,0.5,5,Combo Guard,1.281844428607898,0.4756740608160706
Candace Parker,/wnba/players/p/parkeca01w.html,2020,F-C,22,30.2,14.7,4.6,9.7,1.2,1.2,0.2,2.5824,3.5,0.396,0.19899999999999998,0.069,1.2,0.235,0.249,2.9,0.75,0,Post Scorer,3.4714044276812364,1.708285237807766
Cheyenne Parker-Tyus,/wnba/players/p/parkech01w.html,2020,F,20,24.9,13.4,1.5,6.4,0.9,1.3,0.1818,2.3493,3.4,0.469,0.157,0.12,0.9,0.233,0.094,2.8,0.5,0,Post Scorer,3.203871344679602,0.7842329750279593
Epiphanny Prince,/wnba/players/p/princep01w.html,2020,G,15,12.7,4.3,1.4,1.2,0.1,0.4,0.4737,0.3897,0.9,0.333,0.055,0.006,0.1,0.17600000000000002,0.162,0.8,0.0,3,Floor General,-2.583105693649821,-0.4137669755274781
Allie Quigley,/wnba/players/q/quiglal01w.html,2020,G,22,28.7,15.4,2.4,2.9,0.3,0.6,0.458,2.033,1.7,0.346,0.061,0.012,0.3,0.235,0.13,1.3,0.0,3,Floor General,-1.0751440001828896,0.9394157727969494
Danielle Robinson,/wnba/players/r/robinda01w.html,2020,G,22,22.4,7.4,3.2,2.4,0.1,0.9,0.1091,1.3728,1.9,0.385,0.061,0.012,0.1,0.149,0.20800000000000002,1.3,0.0,3,Floor General,-1.335832643824119,0.40445551287019965
Sugar Rodgers,/wnba/players/r/rodgesu01w.html,2020,G,22,12.0,3.4,1.4,1.3,0.1,0.3,0.7838,0.1059,0.2,0.313,0.061,0.013999999999999999,0.1,0.165,0.16399999999999998,0.7,0.0,3,Floor General,-3.2886157222744106,-0.8698814326892462
Tierra Ruffin-Pratt,/wnba/players/r/ruffiti01w.html,2020,G,17,14.8,2.9,0.9,2.1,0.2,0.6,0.3077,0.0752,1.5,0.462,0.08900000000000001,0.045,0.2,0.11900000000000001,0.08,0.5,0.0,3,Floor General,-1.7575105218000526,-1.8026327160708355
Mercedes Russell,/wnba/players/r/russeme01w.html,2020,C,22,13.8,3.5,0.6,3.2,0.4,0.4,0.0,0.615,1.1,,0.134,0.065,0.4,0.155,0.062,0.7,1.0,2,Stretch Big,1.1061835716864084,-2.729535482720773
Satou Sabally,/wnba/players/s/sabalsa01w.html,2020,F,16,28.1,13.9,2.5,7.8,0.9,0.9,0.3596,1.5844,5.4,0.197,0.161,0.1,0.9,0.254,0.153,2.2,0.5,0,Post Scorer,2.8864507924172154,1.0983120961345016
Katie Lou Samuelson,/wnba/players/s/samueka02w.html,2020,F,22,20.0,5.0,1.4,2.4,0.4,0.7,0.6136,0.583,0.7,0.317,0.071,0.02,0.4,0.11699999999999999,0.107,0.5,0.5,1,3-and-D Wing,-1.9229915824262176,-1.9803873533138125
Kylee Shook,/wnba/players/s/shookky01w.html,2020,C,20,14.5,4.1,0.6,2.8,0.5,0.4,0.225,0.702,0.9,0.176,0.106,0.055999999999999994,0.5,0.162,0.075,1.0,1.0,2,Stretch Big,0.6455679278214551,-2.366842773619715
Odyssey Sims,/wnba/players/s/simsod01w.html,2020,G,13,18.5,9.4,3.5,2.0,0.1,0.5,0.225,1.105,2.5,0.333,0.066,0.040999999999999995,0.1,0.268,0.318,1.9,0.0,3,Floor General,-0.7010371747173727,2.2625351930414888
Alanna Smith,/wnba/players/s/smithal01w.html,2020,F,19,15.6,6.1,1.2,3.6,0.8,0.3,0.4259,0.9503,1.5,0.233,0.134,0.085,0.8,0.2,0.128,0.9,0.5,2,Stretch Big,0.801461307190669,-1.3908807058967103
Azura Stevens,/wnba/players/s/steveaz01w.html,2020,F-C,13,27.3,11.5,1.5,5.9,1.8,0.9,0.3297,1.8938,1.5,0.385,0.132,0.065,1.8,0.185,0.084,1.5,0.75,2,Stretch Big,2.1753183218853662,-1.0476591872592211
