player_id,name,pos,most_recent_year,first_season,cluster,archetype,archetype_score,rank_in_archetype,pca1,pca2,pts_per_g,ast_per_g,treb_per_g,blk_per_g,stl_per_g,ts_pct,usg_pct,bpm,ws_per_40,per,mpg,games_played,opp_win_pct,height_in,weight_lbs,pts_per_g_latest,ast_per_g_latest,treb_per_g_latest,blk_per_g_latest,stl_per_g_latest,ts_pct_latest,fg3_pct_latest,ft_pct_latest,oreb_per_g_latest,dreb_per_g_latest,fg_pct_latest,usg_pct_latest,bpm_latest,per_latest,ws_per_40_latest,tov_per_g_latest,mpg_latest,games_played_latest,wins_latest,losses_latest,birth_year,conference,team
katie-nelson-2,Katie Nelson,"pos    G
pos    G
Name: 10, dtype: object",2022,2022,2.0,Floor General,76.74908586525731,93.0,2.084911876570067,-0.0709569872765059,8.1,3.899999999999999,3.6,0.1,1.7,0.524,13.7,1.6,0.058,14.0,38.3,29,0.5567,68.0,,8.1,3.9,3.6,0.1,1.7,0.524,0.35,0.782,1.0,2.6,0.397,13.7,1.6,14.0,0.058,2.0,38.3,,8.0,21.0,,Big Ten Conference,Wisconsin
sigrun-olafsdottir-1,Sigrun Olafsdottir,"pos    G
pos    G
Name: 11, dtype: object",2025,2022,2.0,Floor General,64.68020811185062,198.0,1.9679810648177969,-1.4606828288749951,6.760690085516344,2.2752334503177827,3.844734820833028,0.1408249117331245,1.7105869576806192,0.5310149611636197,12.1365959161021,0.8168569793030355,0.1200382087091524,12.27986790299524,35.09968705091194,123,0.4963818258863226,69.0,,7.7,3.0,5.1,0.2,2.3,0.553,0.4,0.808,0.8,4.3,0.412,11.8,2.9,15.4,0.157,1.5,38.2,,17.0,15.0,,Southern Conference,Chattanooga
yazz-wazeerud-din-1,Yazz Wazeerud-din,"pos    G
pos    G
Name: 12, dtype: object",2023,2022,2.0,Floor General,21.27327669850643,1270.0,0.6093897350498192,-0.1580775833324809,14.510593953049062,1.3687266019817617,2.7,0.4339218862805033,1.29646868231698,0.5180441414710377,23.11235961189057,2.695585852896225,0.1619646868231698,18.037453203963523,36.51500810015283,63,0.4990832262410056,71.0,,15.7,1.6,2.7,0.5,0.9,0.523,0.348,0.791,0.2,2.5,0.406,24.5,2.2,18.5,0.158,1.7,38.2,,20.0,13.0,,Southern Conference,Chattanooga
savannah-wheeler-1,Savannah Wheeler,"pos    G
pos    G
Name: 13, dtype: object",2024,2022,2.0,Floor General,68.03824142631485,163.0,1.4488004328758932,2.529341164036649,17.336545940630455,4.071389880849685,4.1734030741285775,0.0905655784213825,1.3251774362079358,0.5413988692602322,26.408779443515144,6.5329055189221235,0.2474930134238832,24.909031531161336,35.8211858112049,90,0.4788106433064727,66.0,,17.5,5.0,4.4,0.1,1.3,0.525,0.371,0.86,0.3,4.1,0.406,26.1,6.3,24.1,0.244,2.4,38.1,,30.0,5.0,,Conference USA,Middle Tennessee
haley-cavinder-1,Haley Cavinder,"pos    G
pos    G
Name: 402, dtype: object",2025,2022,2.0,Floor General,25.761510710377372,1141.0,1.0251106642198837,2.4712681117843163,16.993945655937598,4.319358738433526,6.546864291520892,0.1610282131816739,0.8802127252908489,0.5418331507147216,26.069815727530138,7.90665465192397,0.1840185397440989,24.924532131920543,34.352760923067855,93,0.5596098443753864,66.0,,18.2,4.7,6.5,0.2,0.8,0.54,0.313,0.8,1.6,4.9,0.462,28.1,7.8,25.2,0.171,2.9,34.8,,14.0,15.0,,Atlantic Coast Conference,Miami (FL)
jennifer-coleman-1,Jennifer Coleman,"pos    G
pos    G
Name: 15, dtype: object",2022,2022,3.0,Interior Big,21.03316827478011,1424.0,-0.5236693514924403,5.786798176771881,22.2,4.8,10.7,0.1,2.8,0.488,37.1,7.299999999999999,0.197,29.0,38.0,31,0.506,69.0,,22.2,4.8,10.7,0.1,2.8,0.488,0.379,0.723,2.1,8.7,0.402,37.1,7.3,29.0,0.197,4.7,38.0,,10.0,21.0,,Patriot League,Navy
zakiyah-winfield-1,Zakiyah Winfield,"pos    G
pos    G
Name: 16, dtype: object",2023,2023,3.0,Interior Big,56.111784336894935,569.0,-0.19447079160616254,2.275872447425678,14.8,3.9,10.5,0.5,1.8,0.508,23.700000000000003,3.0,0.166,24.2,38.0,28,0.5221,67.0,,14.8,3.9,10.5,0.5,1.8,0.508,0.371,0.753,1.8,8.6,0.459,23.7,3.0,24.2,0.166,2.5,38.0,,12.0,16.0,,Mid-American Conference,Buffalo
una-jovanovic-1,Una Jovanovic,"pos    G
pos    G
Name: 15502, dtype: object",2025,2022,2.0,Floor General,69.69623128772815,144.0,1.2473271014498932,0.18676217684802393,8.194707415311854,2.8053757097188488,2.589684856206943,0.073781370585839,0.5354000872799937,0.5078458116151171,17.196682876397972,2.1533026129307085,0.1107904167023934,14.129159072324171,27.073097041666372,102,0.5327676121059651,69.0,,2.0,1.5,1.4,0.0,0.1,0.386,0.174,0.5,0.6,0.8,0.35,14.0,2.6,11.9,0.128,0.3,10.9,,34.0,4.0,,Big 12 Conference,Texas Christian
alba-orois-1,Alba Orois,"pos    G
pos    G
Name: 18, dtype: object",2022,2022,3.0,Interior Big,66.64461749176502,381.0,1.7626338586996861,2.41620999268447,9.9,5.8,2.8,0.1,1.3,0.523,19.1,-3.2,0.095,13.9,37.9,32,0.4497,67.0,,9.9,5.8,2.8,0.1,1.3,0.523,0.27,0.629,0.3,2.5,0.461,19.1,-3.2,13.9,0.095,3.6,37.9,,20.0,12.0,,America East Conference,Maine
reshawna-stone-1,Re'Shawna Stone,"pos    G
pos    G
Name: 19, dtype: object",2023,2023,3.0,Interior Big,49.37634641031369,712.0,0.7424932175598329,3.0045131413329895,17.4,3.8,5.3,0.0,1.5,0.577,25.8,2.5,0.162,23.9,37.8,28,0.5221,66.0,,17.4,3.8,5.3,0.0,1.5,0.577,0.405,0.736,1.8,3.5,0.481,25.8,2.5,23.9,0.162,3.4,37.8,,12.0,16.0,,Mid-American Conference,Buffalo
